,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,187,8708,1,104,21,971,0,8
9,0.009,181,8458,7,354,19,936,2,43
10,0.01,173,8227,15,585,19,912,2,67
11,0.011,170,7941,18,871,18,882,3,97
12,0.012,162,7579,26,1233,18,843,3,136
13,0.013,155,7221,33,1591,17,798,4,181
14,0.014,144,6766,44,2046,14,759,7,220
15,0.015,130,6262,58,2550,14,695,7,284
16,0.016,123,5982,65,2830,12,670,9,309
17,0.017,102,5573,86,3239,12,625,9,354
18,0.018,95,5203,93,3609,11,584,10,395
19,0.019,83,4681,105,4131,11,525,10,454
20,0.02,75,4442,113,4370,11,489,10,490
21,0.021,68,4124,120,4688,11,454,10,525
22,0.022,60,3663,128,5149,11,411,10,568
23,0.023,47,3241,141,5571,11,356,10,623
24,0.024,41,2852,147,5960,9,314,12,665
25,0.025,40,2767,148,6045,8,300,13,679
26,0.026,32,2472,156,6340,7,269,14,710
27,0.027,30,2218,158,6594,5,238,16,741
28,0.028,26,1942,162,6870,3,209,18,770
29,0.029,23,1699,165,7113,3,183,18,796
30,0.03,22,1537,166,7275,3,166,18,813
31,0.031,17,1352,171,7460,2,145,19,834
32,0.032,16,1194,172,7618,1,126,20,853
33,0.033,12,864,176,7948,1,103,20,876
34,0.034,10,723,178,8089,1,89,20,890
35,0.035,10,645,178,8167,1,79,20,900
36,0.036,9,588,179,8224,1,73,20,906
37,0.037,7,508,181,8304,1,61,20,918
38,0.038,7,437,181,8375,1,52,20,927
39,0.039,6,343,182,8469,1,31,20,948
40,0.04,6,294,182,8518,0,26,21,953
41,0.041,4,207,184,8605,0,19,21,960
42,0.042,4,148,184,8664,0,15,21,964
43,0.043,4,144,184,8668,0,13,21,966
44,0.044,3,85,185,8727,0,5,21,974
45,0.045,3,39,185,8773,0,3,21,976
46,0.046,1,20,187,8792,0,1,21,978
47,0.047,1,8,187,8804,0,0,21,979
48,0.048,0,1,188,8811,0,0,21,979
49,0.049,0,1,188,8811,0,0,21,979
50,0.05,0,0,188,8812,0,0,21,979
51,0.051,0,0,188,8812,0,0,21,979
52,0.052,0,0,188,8812,0,0,21,979
53,0.053,0,0,188,8812,0,0,21,979
54,0.054,0,0,188,8812,0,0,21,979
55,0.055,0,0,188,8812,0,0,21,979
56,0.056,0,0,188,8812,0,0,21,979
57,0.057,0,0,188,8812,0,0,21,979
58,0.058,0,0,188,8812,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
