,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,185,8660,3,152,21,964,0,15
9,0.009,178,8373,10,439,19,931,2,48
10,0.01,173,7910,15,902,19,886,2,93
11,0.011,169,7647,19,1165,19,855,2,124
12,0.012,166,7470,22,1342,18,836,3,143
13,0.013,152,6971,36,1841,18,784,3,195
14,0.014,142,6504,46,2308,17,734,4,245
15,0.015,137,6160,51,2652,17,685,4,294
16,0.016,120,5647,68,3165,14,626,7,353
17,0.017,105,5048,83,3764,13,569,8,410
18,0.018,95,4606,93,4206,13,517,8,462
19,0.019,89,4450,99,4362,11,499,10,480
20,0.02,84,4099,104,4713,8,446,13,533
21,0.021,74,3591,114,5221,8,386,13,593
22,0.022,67,3267,121,5545,8,342,13,637
23,0.023,64,2974,124,5838,7,317,14,662
24,0.024,58,2519,130,6293,4,276,17,703
25,0.025,51,2178,137,6634,4,239,17,740
26,0.026,46,1858,142,6954,4,209,17,770
27,0.027,42,1738,146,7074,4,199,17,780
28,0.028,33,1450,155,7362,3,162,18,817
29,0.029,26,1170,162,7642,2,133,19,846
30,0.03,13,796,175,8016,2,91,19,888
31,0.031,11,747,177,8065,2,89,19,890
32,0.032,10,661,178,8151,2,78,19,901
33,0.033,9,584,179,8228,2,66,19,913
34,0.034,7,546,181,8266,2,60,19,919
35,0.035,7,499,181,8313,2,54,19,925
36,0.036,7,477,181,8335,2,52,19,927
37,0.037,7,370,181,8442,2,48,19,931
38,0.038,4,258,184,8554,1,32,20,947
39,0.039,3,185,185,8627,1,22,20,957
40,0.04,2,140,186,8672,1,17,20,962
41,0.041,2,98,186,8714,1,12,20,967
42,0.042,1,40,187,8772,0,5,21,974
43,0.043,1,40,187,8772,0,5,21,974
44,0.044,1,33,187,8779,0,5,21,974
45,0.045,1,31,187,8781,0,5,21,974
46,0.046,1,31,187,8781,0,5,21,974
47,0.047,1,30,187,8782,0,5,21,974
48,0.048,0,0,188,8812,0,0,21,979
49,0.049,0,0,188,8812,0,0,21,979
50,0.05,0,0,188,8812,0,0,21,979
51,0.051,0,0,188,8812,0,0,21,979
52,0.052,0,0,188,8812,0,0,21,979
53,0.053,0,0,188,8812,0,0,21,979
54,0.054,0,0,188,8812,0,0,21,979
55,0.055,0,0,188,8812,0,0,21,979
56,0.056,0,0,188,8812,0,0,21,979
57,0.057,0,0,188,8812,0,0,21,979
58,0.058,0,0,188,8812,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
