,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,75,3490,1,34,8,389,0,3
10,0.01,74,3450,2,74,8,385,0,7
11,0.011,72,3321,4,203,7,365,1,27
12,0.012,69,3197,7,327,7,353,1,39
13,0.013,68,3086,8,438,7,341,1,51
14,0.014,66,2993,10,531,7,328,1,64
15,0.015,66,2891,10,633,7,317,1,75
16,0.016,62,2657,14,867,4,294,4,98
17,0.017,59,2463,17,1061,3,270,5,122
18,0.018,55,2248,21,1276,3,247,5,145
19,0.019,52,2122,24,1402,3,240,5,152
20,0.02,41,1868,35,1656,3,213,5,179
21,0.021,39,1684,37,1840,3,202,5,190
22,0.022,35,1480,41,2044,3,176,5,216
23,0.023,31,1344,45,2180,3,162,5,230
24,0.024,28,1184,48,2340,3,146,5,246
25,0.025,25,999,51,2525,1,123,7,269
26,0.026,24,880,52,2644,0,110,8,282
27,0.027,21,774,55,2750,0,97,8,295
28,0.028,16,625,60,2899,0,81,8,311
29,0.029,12,515,64,3009,0,75,8,317
30,0.03,11,445,65,3079,0,67,8,325
31,0.031,10,377,66,3147,0,59,8,333
32,0.032,7,292,69,3232,0,46,8,346
33,0.033,6,250,70,3274,0,40,8,352
34,0.034,3,213,73,3311,0,34,8,358
35,0.035,3,156,73,3368,0,21,8,371
36,0.036,0,97,76,3427,0,11,8,381
37,0.037,0,78,76,3446,0,10,8,382
38,0.038,0,46,76,3478,0,9,8,383
39,0.039,0,43,76,3481,0,9,8,383
40,0.04,0,35,76,3489,0,7,8,385
41,0.041,0,29,76,3495,0,5,8,387
42,0.042,0,1,76,3523,0,0,8,392
43,0.043,0,0,76,3524,0,0,8,392
44,0.044,0,0,76,3524,0,0,8,392
45,0.045,0,0,76,3524,0,0,8,392
46,0.046,0,0,76,3524,0,0,8,392
47,0.047,0,0,76,3524,0,0,8,392
48,0.048,0,0,76,3524,0,0,8,392
49,0.049,0,0,76,3524,0,0,8,392
50,0.05,0,0,76,3524,0,0,8,392
51,0.051,0,0,76,3524,0,0,8,392
52,0.052,0,0,76,3524,0,0,8,392
53,0.053,0,0,76,3524,0,0,8,392
54,0.054,0,0,76,3524,0,0,8,392
55,0.055,0,0,76,3524,0,0,8,392
56,0.056,0,0,76,3524,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
