,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,188,8812,0,0,21,979,0,0
9,0.009,188,8812,0,0,21,979,0,0
10,0.01,188,8812,0,0,21,979,0,0
11,0.011,188,8812,0,0,21,979,0,0
12,0.012,188,8792,0,20,21,974,0,5
13,0.013,186,8698,2,114,21,965,0,14
14,0.014,183,8549,5,263,21,951,0,28
15,0.015,176,8261,12,551,20,925,1,54
16,0.016,162,7755,26,1057,20,888,1,91
17,0.017,142,7251,46,1561,20,840,1,139
18,0.018,133,6664,55,2148,19,782,2,197
19,0.019,114,5862,74,2950,19,689,2,290
20,0.02,104,5318,84,3494,16,606,5,373
21,0.021,86,4834,102,3978,15,537,6,442
22,0.022,75,4298,113,4514,15,478,6,501
23,0.023,65,3757,123,5055,15,414,6,565
24,0.024,54,3126,134,5686,14,354,7,625
25,0.025,47,2675,141,6137,12,295,9,684
26,0.026,35,2127,153,6685,11,236,10,743
27,0.027,31,1720,157,7092,9,198,12,781
28,0.028,27,1374,161,7438,9,166,12,813
29,0.029,22,1082,166,7730,8,120,13,859
30,0.03,20,908,168,7904,6,104,15,875
31,0.031,14,725,174,8087,4,78,17,901
32,0.032,10,518,178,8294,4,57,17,922
33,0.033,6,345,182,8467,3,34,18,945
34,0.034,5,242,183,8570,1,21,20,958
35,0.035,5,191,183,8621,1,20,20,959
36,0.036,2,149,186,8663,1,9,20,970
37,0.037,1,70,187,8742,1,5,20,974
38,0.038,0,39,188,8773,1,0,20,979
39,0.039,0,23,188,8789,1,0,20,979
40,0.04,0,16,188,8796,1,0,20,979
41,0.041,0,11,188,8801,0,0,21,979
42,0.042,0,8,188,8804,0,0,21,979
43,0.043,0,4,188,8808,0,0,21,979
44,0.044,0,3,188,8809,0,0,21,979
45,0.045,0,3,188,8809,0,0,21,979
46,0.046,0,2,188,8810,0,0,21,979
47,0.047,0,1,188,8811,0,0,21,979
48,0.048,0,0,188,8812,0,0,21,979
49,0.049,0,0,188,8812,0,0,21,979
50,0.05,0,0,188,8812,0,0,21,979
51,0.051,0,0,188,8812,0,0,21,979
52,0.052,0,0,188,8812,0,0,21,979
53,0.053,0,0,188,8812,0,0,21,979
54,0.054,0,0,188,8812,0,0,21,979
55,0.055,0,0,188,8812,0,0,21,979
56,0.056,0,0,188,8812,0,0,21,979
57,0.057,0,0,188,8812,0,0,21,979
58,0.058,0,0,188,8812,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
