,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5287,0,0,12,588,0,0
13,0.013,113,5287,0,0,12,588,0,0
14,0.014,113,5287,0,0,12,588,0,0
15,0.015,113,5284,0,3,12,588,0,0
16,0.016,109,5062,4,225,12,566,0,22
17,0.017,103,4714,10,573,12,534,0,54
18,0.018,91,4194,22,1093,12,474,0,114
19,0.019,82,3556,31,1731,10,415,2,173
20,0.02,71,3053,42,2234,10,360,2,228
21,0.021,65,2800,48,2487,9,329,3,259
22,0.022,62,2553,51,2734,9,299,3,289
23,0.023,56,2266,57,3021,9,258,3,330
24,0.024,52,2008,61,3279,8,226,4,362
25,0.025,43,1670,70,3617,8,192,4,396
26,0.026,36,1417,77,3870,8,165,4,423
27,0.027,28,1191,85,4096,7,138,5,450
28,0.028,23,1051,90,4236,6,123,6,465
29,0.029,17,873,96,4414,5,101,7,487
30,0.03,15,721,98,4566,4,86,8,502
31,0.031,12,585,101,4702,4,69,8,519
32,0.032,8,503,105,4784,3,64,9,524
33,0.033,6,377,107,4910,3,48,9,540
34,0.034,5,315,108,4972,3,36,9,552
35,0.035,4,273,109,5014,3,29,9,559
36,0.036,4,229,109,5058,3,22,9,566
37,0.037,4,177,109,5110,3,18,9,570
38,0.038,2,121,111,5166,2,9,10,579
39,0.039,2,109,111,5178,2,6,10,582
40,0.04,2,91,111,5196,2,3,10,585
41,0.041,2,70,111,5217,2,1,10,587
42,0.042,1,53,112,5234,1,1,11,587
43,0.043,1,25,112,5262,0,1,12,587
44,0.044,1,18,112,5269,0,0,12,588
45,0.045,1,11,112,5276,0,0,12,588
46,0.046,1,9,112,5278,0,0,12,588
47,0.047,1,6,112,5281,0,0,12,588
48,0.048,1,5,112,5282,0,0,12,588
49,0.049,0,4,113,5283,0,0,12,588
50,0.05,0,3,113,5284,0,0,12,588
51,0.051,0,3,113,5284,0,0,12,588
52,0.052,0,3,113,5284,0,0,12,588
53,0.053,0,3,113,5284,0,0,12,588
54,0.054,0,2,113,5285,0,0,12,588
55,0.055,0,2,113,5285,0,0,12,588
56,0.056,0,1,113,5286,0,0,12,588
57,0.057,0,0,113,5287,0,0,12,588
58,0.058,0,0,113,5287,0,0,12,588
59,0.059,0,0,113,5287,0,0,12,588
60,0.06,0,0,113,5287,0,0,12,588
61,0.061,0,0,113,5287,0,0,12,588
62,0.062,0,0,113,5287,0,0,12,588
63,0.063,0,0,113,5287,0,0,12,588
64,0.064,0,0,113,5287,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
