,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,188,8812,0,0,21,979,0,0
9,0.009,188,8812,0,0,21,979,0,0
10,0.01,188,8812,0,0,21,979,0,0
11,0.011,188,8812,0,0,21,979,0,0
12,0.012,188,8812,0,0,21,979,0,0
13,0.013,188,8812,0,0,21,979,0,0
14,0.014,188,8795,0,17,21,976,0,3
15,0.015,181,8575,7,237,21,946,0,33
16,0.016,171,8130,17,682,21,900,0,79
17,0.017,157,7570,31,1242,21,826,0,153
18,0.018,133,6363,55,2449,21,684,0,295
19,0.019,122,5030,66,3782,21,544,0,435
20,0.02,89,3790,99,5022,21,415,0,564
21,0.021,68,2886,120,5926,21,314,0,665
22,0.022,54,2248,134,6564,21,248,0,731
23,0.023,41,1792,147,7020,20,185,1,794
24,0.024,34,1415,154,7397,18,146,3,833
25,0.025,27,1156,161,7656,18,115,3,864
26,0.026,24,967,164,7845,18,91,3,888
27,0.027,19,791,169,8021,16,68,5,911
28,0.028,15,609,173,8203,15,52,6,927
29,0.029,11,471,177,8341,15,36,6,943
30,0.03,7,330,181,8482,12,27,9,952
31,0.031,5,255,183,8557,12,17,9,962
32,0.032,4,194,184,8618,9,9,12,970
33,0.033,2,138,186,8674,8,6,13,973
34,0.034,2,101,186,8711,7,4,14,975
35,0.035,1,78,187,8734,6,4,15,975
36,0.036,1,57,187,8755,6,2,15,977
37,0.037,1,46,187,8766,5,2,16,977
38,0.038,1,32,187,8780,4,1,17,978
39,0.039,1,25,187,8787,4,0,17,979
40,0.04,0,15,188,8797,4,0,17,979
41,0.041,0,11,188,8801,3,0,18,979
42,0.042,0,9,188,8803,2,0,19,979
43,0.043,0,7,188,8805,1,0,20,979
44,0.044,0,6,188,8806,0,0,21,979
45,0.045,0,5,188,8807,0,0,21,979
46,0.046,0,4,188,8808,0,0,21,979
47,0.047,0,2,188,8810,0,0,21,979
48,0.048,0,1,188,8811,0,0,21,979
49,0.049,0,1,188,8811,0,0,21,979
50,0.05,0,0,188,8812,0,0,21,979
51,0.051,0,0,188,8812,0,0,21,979
52,0.052,0,0,188,8812,0,0,21,979
53,0.053,0,0,188,8812,0,0,21,979
54,0.054,0,0,188,8812,0,0,21,979
55,0.055,0,0,188,8812,0,0,21,979
56,0.056,0,0,188,8812,0,0,21,979
57,0.057,0,0,188,8812,0,0,21,979
58,0.058,0,0,188,8812,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
