,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,75,3472,1,52,6,385,2,7
9,0.009,71,3366,5,158,5,375,3,17
10,0.01,67,3241,9,283,5,360,3,32
11,0.011,64,3093,12,431,5,337,3,55
12,0.012,63,2973,13,551,5,328,3,64
13,0.013,62,2870,14,654,5,318,3,74
14,0.014,60,2790,16,734,5,310,3,82
15,0.015,60,2679,16,845,4,292,4,100
16,0.016,58,2547,18,977,4,278,4,114
17,0.017,52,2364,24,1160,4,260,4,132
18,0.018,49,2227,27,1297,4,248,4,144
19,0.019,43,2034,33,1490,2,230,6,162
20,0.02,38,1882,38,1642,2,217,6,175
21,0.021,29,1652,47,1872,2,185,6,207
22,0.022,25,1448,51,2076,2,165,6,227
23,0.023,21,1296,55,2228,2,147,6,245
24,0.024,19,1177,57,2347,1,134,7,258
25,0.025,18,1087,58,2437,1,122,7,270
26,0.026,18,1019,58,2505,1,109,7,283
27,0.027,14,929,62,2595,0,99,8,293
28,0.028,14,861,62,2663,0,96,8,296
29,0.029,14,830,62,2694,0,94,8,298
30,0.03,14,751,62,2773,0,84,8,308
31,0.031,10,690,66,2834,0,76,8,316
32,0.032,9,625,67,2899,0,65,8,327
33,0.033,8,537,68,2987,0,58,8,334
34,0.034,7,484,69,3040,0,53,8,339
35,0.035,7,443,69,3081,0,50,8,342
36,0.036,7,431,69,3093,0,48,8,344
37,0.037,6,410,70,3114,0,46,8,346
38,0.038,6,370,70,3154,0,45,8,347
39,0.039,6,305,70,3219,0,36,8,356
40,0.04,5,265,71,3259,0,31,8,361
41,0.041,5,261,71,3263,0,30,8,362
42,0.042,4,231,72,3293,0,27,8,365
43,0.043,4,220,72,3304,0,26,8,366
44,0.044,3,187,73,3337,0,23,8,369
45,0.045,2,140,74,3384,0,14,8,378
46,0.046,2,120,74,3404,0,12,8,380
47,0.047,2,98,74,3426,0,11,8,381
48,0.048,2,83,74,3441,0,9,8,383
49,0.049,2,75,74,3449,0,8,8,384
50,0.05,1,67,75,3457,0,6,8,386
51,0.051,1,50,75,3474,0,4,8,388
52,0.052,0,26,76,3498,0,4,8,388
53,0.053,0,13,76,3511,0,1,8,391
54,0.054,0,0,76,3524,0,0,8,392
55,0.055,0,0,76,3524,0,0,8,392
56,0.056,0,0,76,3524,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
