,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,19,878,0,3,2,97,0,1
26,0.026,19,859,0,22,2,97,0,1
27,0.027,19,823,0,58,2,92,0,6
28,0.028,19,782,0,99,2,91,0,7
29,0.029,19,747,0,134,2,89,0,9
30,0.03,16,703,3,178,2,85,0,13
31,0.031,16,657,3,224,2,80,0,18
32,0.032,14,610,5,271,2,75,0,23
33,0.033,13,579,6,302,1,68,1,30
34,0.034,13,533,6,348,1,62,1,36
35,0.035,12,484,7,397,1,49,1,49
36,0.036,10,458,9,423,0,41,2,57
37,0.037,10,427,9,454,0,39,2,59
38,0.038,8,385,11,496,0,35,2,63
39,0.039,7,353,12,528,0,31,2,67
40,0.04,5,311,14,570,0,28,2,70
41,0.041,4,274,15,607,0,26,2,72
42,0.042,4,244,15,637,0,26,2,72
43,0.043,4,221,15,660,0,26,2,72
44,0.044,4,205,15,676,0,24,2,74
45,0.045,3,186,16,695,0,19,2,79
46,0.046,1,167,18,714,0,18,2,80
47,0.047,1,143,18,738,0,17,2,81
48,0.048,1,127,18,754,0,15,2,83
49,0.049,1,107,18,774,0,13,2,85
50,0.05,1,94,18,787,0,12,2,86
51,0.051,0,83,19,798,0,11,2,87
52,0.052,0,75,19,806,0,9,2,89
53,0.053,0,68,19,813,0,7,2,91
54,0.054,0,61,19,820,0,5,2,93
55,0.055,0,55,19,826,0,5,2,93
56,0.056,0,48,19,833,0,4,2,94
57,0.057,0,40,19,841,0,4,2,94
58,0.058,0,36,19,845,0,3,2,95
59,0.059,0,32,19,849,0,3,2,95
60,0.06,0,29,19,852,0,2,2,96
61,0.061,0,26,19,855,0,2,2,96
62,0.062,0,24,19,857,0,2,2,96
63,0.063,0,20,19,861,0,2,2,96
64,0.064,0,16,19,865,0,2,2,96
65,0.065,0,15,19,866,0,2,2,96
66,0.066,0,14,19,867,0,1,2,97
67,0.067,0,13,19,868,0,1,2,97
68,0.068,0,12,19,869,0,1,2,97
69,0.069,0,12,19,869,0,1,2,97
70,0.07,0,10,19,871,0,1,2,97
71,0.071,0,5,19,876,0,0,2,98
72,0.072,0,4,19,877,0,0,2,98
73,0.073,0,3,19,878,0,0,2,98
74,0.074,0,2,19,879,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
