,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5268,0,19,12,587,0,1
12,0.012,103,4857,10,430,11,546,1,42
13,0.013,88,4462,25,825,9,495,3,93
14,0.014,79,4095,34,1192,9,449,3,139
15,0.015,72,3729,41,1558,9,409,3,179
16,0.016,69,3469,44,1818,9,384,3,204
17,0.017,65,3038,48,2249,9,345,3,243
18,0.018,58,2635,55,2652,9,299,3,289
19,0.019,47,2224,66,3063,9,252,3,336
20,0.02,37,2002,76,3285,9,224,3,364
21,0.021,34,1756,79,3531,8,200,4,388
22,0.022,28,1413,85,3874,7,156,5,432
23,0.023,24,1211,89,4076,6,138,6,450
24,0.024,19,1024,94,4263,5,112,7,476
25,0.025,14,922,99,4365,5,90,7,498
26,0.026,13,867,100,4420,4,82,8,506
27,0.027,11,792,102,4495,3,77,9,511
28,0.028,8,697,105,4590,3,68,9,520
29,0.029,7,602,106,4685,2,60,10,528
30,0.03,4,449,109,4838,2,48,10,540
31,0.031,4,393,109,4894,2,46,10,542
32,0.032,4,307,109,4980,2,40,10,548
33,0.033,3,252,110,5035,2,29,10,559
34,0.034,3,231,110,5056,1,25,11,563
35,0.035,3,222,110,5065,1,25,11,563
36,0.036,2,188,111,5099,1,23,11,565
37,0.037,2,146,111,5141,1,19,11,569
38,0.038,2,146,111,5141,1,18,11,570
39,0.039,2,142,111,5145,1,18,11,570
40,0.04,2,139,111,5148,1,18,11,570
41,0.041,2,116,111,5171,1,16,11,572
42,0.042,2,115,111,5172,1,16,11,572
43,0.043,2,101,111,5186,1,13,11,575
44,0.044,0,73,113,5214,1,6,11,582
45,0.045,0,70,113,5217,1,6,11,582
46,0.046,0,64,113,5223,1,5,11,583
47,0.047,0,64,113,5223,1,5,11,583
48,0.048,0,64,113,5223,1,5,11,583
49,0.049,0,59,113,5228,0,5,12,583
50,0.05,0,29,113,5258,0,3,12,585
51,0.051,0,29,113,5258,0,3,12,585
52,0.052,0,29,113,5258,0,3,12,585
53,0.053,0,19,113,5268,0,3,12,585
54,0.054,0,18,113,5269,0,3,12,585
55,0.055,0,10,113,5277,0,3,12,585
56,0.056,0,8,113,5279,0,3,12,585
57,0.057,0,7,113,5280,0,3,12,585
58,0.058,0,7,113,5280,0,2,12,586
59,0.059,0,7,113,5280,0,2,12,586
60,0.06,0,6,113,5281,0,2,12,586
61,0.061,0,6,113,5281,0,2,12,586
62,0.062,0,6,113,5281,0,1,12,587
63,0.063,0,6,113,5281,0,0,12,588
64,0.064,0,6,113,5281,0,0,12,588
65,0.065,0,5,113,5282,0,0,12,588
66,0.066,0,5,113,5282,0,0,12,588
67,0.067,0,5,113,5282,0,0,12,588
68,0.068,0,5,113,5282,0,0,12,588
69,0.069,0,4,113,5283,0,0,12,588
70,0.07,0,4,113,5283,0,0,12,588
71,0.071,0,4,113,5283,0,0,12,588
72,0.072,0,3,113,5284,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
