,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5287,0,0,12,588,0,0
13,0.013,113,5281,0,6,12,587,0,1
14,0.014,113,5271,0,16,12,583,0,5
15,0.015,113,5250,0,37,12,580,0,8
16,0.016,111,5220,2,67,12,572,0,16
17,0.017,111,5200,2,87,12,566,0,22
18,0.018,110,5187,3,100,12,564,0,24
19,0.019,110,5169,3,118,12,562,0,26
20,0.02,109,5136,4,151,12,558,0,30
21,0.021,102,4996,11,291,12,539,0,49
22,0.022,94,4527,19,760,12,488,0,100
23,0.023,87,4004,26,1283,12,433,0,155
24,0.024,69,3338,44,1949,11,373,1,215
25,0.025,40,2176,73,3111,8,254,4,334
26,0.026,16,970,97,4317,6,109,6,479
27,0.027,2,145,111,5142,2,18,10,570
28,0.028,1,79,112,5208,2,12,10,576
29,0.029,1,72,112,5215,2,11,10,577
30,0.03,1,59,112,5228,2,10,10,578
31,0.031,1,54,112,5233,2,8,10,580
32,0.032,1,50,112,5237,2,6,10,582
33,0.033,1,40,112,5247,2,6,10,582
34,0.034,1,33,112,5254,2,6,10,582
35,0.035,1,23,112,5264,0,5,12,583
36,0.036,1,19,112,5268,0,3,12,585
37,0.037,1,18,112,5269,0,3,12,585
38,0.038,1,18,112,5269,0,3,12,585
39,0.039,1,18,112,5269,0,3,12,585
40,0.04,1,16,112,5271,0,3,12,585
41,0.041,1,14,112,5273,0,3,12,585
42,0.042,0,13,113,5274,0,3,12,585
43,0.043,0,13,113,5274,0,3,12,585
44,0.044,0,13,113,5274,0,3,12,585
45,0.045,0,10,113,5277,0,3,12,585
46,0.046,0,10,113,5277,0,3,12,585
47,0.047,0,10,113,5277,0,3,12,585
48,0.048,0,10,113,5277,0,3,12,585
49,0.049,0,9,113,5278,0,2,12,586
50,0.05,0,8,113,5279,0,2,12,586
51,0.051,0,6,113,5281,0,2,12,586
52,0.052,0,4,113,5283,0,2,12,586
53,0.053,0,3,113,5284,0,1,12,587
54,0.054,0,1,113,5286,0,0,12,588
55,0.055,0,0,113,5287,0,0,12,588
56,0.056,0,0,113,5287,0,0,12,588
57,0.057,0,0,113,5287,0,0,12,588
58,0.058,0,0,113,5287,0,0,12,588
59,0.059,0,0,113,5287,0,0,12,588
60,0.06,0,0,113,5287,0,0,12,588
61,0.061,0,0,113,5287,0,0,12,588
62,0.062,0,0,113,5287,0,0,12,588
63,0.063,0,0,113,5287,0,0,12,588
64,0.064,0,0,113,5287,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
