,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,150,7050,0,0,17,783,0,0
1,0.001,150,7050,0,0,17,783,0,0
2,0.002,150,7050,0,0,17,783,0,0
3,0.003,150,7050,0,0,17,783,0,0
4,0.004,150,7050,0,0,17,783,0,0
5,0.005,150,7050,0,0,17,783,0,0
6,0.006,150,7050,0,0,17,783,0,0
7,0.007,150,7050,0,0,17,783,0,0
8,0.008,150,7050,0,0,17,783,0,0
9,0.009,150,7050,0,0,17,783,0,0
10,0.01,150,7050,0,0,17,783,0,0
11,0.011,150,7050,0,0,17,783,0,0
12,0.012,150,7050,0,0,17,783,0,0
13,0.013,150,7050,0,0,17,783,0,0
14,0.014,150,7050,0,0,17,783,0,0
15,0.015,150,7041,0,9,17,782,0,1
16,0.016,148,6919,2,131,17,765,0,18
17,0.017,147,6717,3,333,17,736,0,47
18,0.018,139,6344,11,706,17,696,0,87
19,0.019,129,5969,21,1081,17,656,0,127
20,0.02,120,5550,30,1500,17,614,0,169
21,0.021,111,5020,39,2030,17,552,0,231
22,0.022,93,4317,57,2733,17,482,0,301
23,0.023,78,3612,72,3438,17,395,0,388
24,0.024,55,2842,95,4208,16,311,1,472
25,0.025,44,2224,106,4826,13,214,4,569
26,0.026,32,1704,118,5346,13,160,4,623
27,0.027,25,1187,125,5863,11,117,6,666
28,0.028,16,840,134,6210,11,87,6,696
29,0.029,12,592,138,6458,11,61,6,722
30,0.03,8,404,142,6646,10,39,7,744
31,0.031,5,300,145,6750,8,22,9,761
32,0.032,5,215,145,6835,8,14,9,769
33,0.033,2,173,148,6877,8,7,9,776
34,0.034,2,139,148,6911,8,6,9,777
35,0.035,2,100,148,6950,6,5,11,778
36,0.036,1,79,149,6971,4,2,13,781
37,0.037,0,59,150,6991,4,2,13,781
38,0.038,0,48,150,7002,3,2,14,781
39,0.039,0,39,150,7011,2,1,15,782
40,0.04,0,28,150,7022,2,1,15,782
41,0.041,0,24,150,7026,1,0,16,783
42,0.042,0,17,150,7033,0,0,17,783
43,0.043,0,10,150,7040,0,0,17,783
44,0.044,0,8,150,7042,0,0,17,783
45,0.045,0,6,150,7044,0,0,17,783
46,0.046,0,6,150,7044,0,0,17,783
47,0.047,0,4,150,7046,0,0,17,783
48,0.048,0,1,150,7049,0,0,17,783
49,0.049,0,0,150,7050,0,0,17,783
50,0.05,0,0,150,7050,0,0,17,783
51,0.051,0,0,150,7050,0,0,17,783
52,0.052,0,0,150,7050,0,0,17,783
53,0.053,0,0,150,7050,0,0,17,783
54,0.054,0,0,150,7050,0,0,17,783
55,0.055,0,0,150,7050,0,0,17,783
56,0.056,0,0,150,7050,0,0,17,783
57,0.057,0,0,150,7050,0,0,17,783
58,0.058,0,0,150,7050,0,0,17,783
59,0.059,0,0,150,7050,0,0,17,783
60,0.06,0,0,150,7050,0,0,17,783
61,0.061,0,0,150,7050,0,0,17,783
62,0.062,0,0,150,7050,0,0,17,783
63,0.063,0,0,150,7050,0,0,17,783
64,0.064,0,0,150,7050,0,0,17,783
65,0.065,0,0,150,7050,0,0,17,783
66,0.066,0,0,150,7050,0,0,17,783
67,0.067,0,0,150,7050,0,0,17,783
68,0.068,0,0,150,7050,0,0,17,783
69,0.069,0,0,150,7050,0,0,17,783
70,0.07,0,0,150,7050,0,0,17,783
71,0.071,0,0,150,7050,0,0,17,783
72,0.072,0,0,150,7050,0,0,17,783
73,0.073,0,0,150,7050,0,0,17,783
74,0.074,0,0,150,7050,0,0,17,783
75,0.075,0,0,150,7050,0,0,17,783
76,0.076,0,0,150,7050,0,0,17,783
77,0.077,0,0,150,7050,0,0,17,783
78,0.078,0,0,150,7050,0,0,17,783
79,0.079,0,0,150,7050,0,0,17,783
80,0.08,0,0,150,7050,0,0,17,783
81,0.081,0,0,150,7050,0,0,17,783
82,0.082,0,0,150,7050,0,0,17,783
83,0.083,0,0,150,7050,0,0,17,783
84,0.084,0,0,150,7050,0,0,17,783
85,0.085,0,0,150,7050,0,0,17,783
86,0.086,0,0,150,7050,0,0,17,783
87,0.087,0,0,150,7050,0,0,17,783
88,0.088,0,0,150,7050,0,0,17,783
89,0.089,0,0,150,7050,0,0,17,783
90,0.09,0,0,150,7050,0,0,17,783
91,0.091,0,0,150,7050,0,0,17,783
92,0.092,0,0,150,7050,0,0,17,783
93,0.093,0,0,150,7050,0,0,17,783
94,0.094,0,0,150,7050,0,0,17,783
95,0.095,0,0,150,7050,0,0,17,783
96,0.096,0,0,150,7050,0,0,17,783
97,0.097,0,0,150,7050,0,0,17,783
98,0.098,0,0,150,7050,0,0,17,783
99,0.099,0,0,150,7050,0,0,17,783
100,0.1,0,0,150,7050,0,0,17,783
101,0.2,0,0,150,7050,0,0,17,783
102,0.3,0,0,150,7050,0,0,17,783
103,0.4,0,0,150,7050,0,0,17,783
104,0.5,0,0,150,7050,0,0,17,783
