,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,76,3524,0,0,8,392,0,0
12,0.012,72,3511,4,13,8,392,0,0
13,0.013,66,3323,10,201,8,370,0,22
14,0.014,58,2976,18,548,8,337,0,55
15,0.015,48,2429,28,1095,8,273,0,119
16,0.016,38,1888,38,1636,8,204,0,188
17,0.017,24,1461,52,2063,7,139,1,253
18,0.018,19,1168,57,2356,7,103,1,289
19,0.019,12,876,64,2648,7,75,1,317
20,0.02,9,663,67,2861,7,58,1,334
21,0.021,9,524,67,3000,6,45,2,347
22,0.022,8,427,68,3097,6,34,2,358
23,0.023,5,333,71,3191,5,27,3,365
24,0.024,4,240,72,3284,5,22,3,370
25,0.025,3,190,73,3334,4,18,4,374
26,0.026,3,158,73,3366,4,13,4,379
27,0.027,3,126,73,3398,4,11,4,381
28,0.028,3,106,73,3418,4,7,4,385
29,0.029,3,91,73,3433,4,6,4,386
30,0.03,2,75,74,3449,4,6,4,386
31,0.031,2,68,74,3456,4,5,4,387
32,0.032,2,61,74,3463,3,5,5,387
33,0.033,1,55,75,3469,3,5,5,387
34,0.034,0,48,76,3476,3,4,5,388
35,0.035,0,44,76,3480,2,4,6,388
36,0.036,0,39,76,3485,1,4,7,388
37,0.037,0,34,76,3490,1,4,7,388
38,0.038,0,29,76,3495,1,4,7,388
39,0.039,0,26,76,3498,1,3,7,389
40,0.04,0,22,76,3502,1,3,7,389
41,0.041,0,20,76,3504,1,2,7,390
42,0.042,0,15,76,3509,0,2,8,390
43,0.043,0,10,76,3514,0,2,8,390
44,0.044,0,10,76,3514,0,2,8,390
45,0.045,0,10,76,3514,0,2,8,390
46,0.046,0,7,76,3517,0,2,8,390
47,0.047,0,7,76,3517,0,2,8,390
48,0.048,0,5,76,3519,0,2,8,390
49,0.049,0,5,76,3519,0,2,8,390
50,0.05,0,4,76,3520,0,2,8,390
51,0.051,0,3,76,3521,0,1,8,391
52,0.052,0,3,76,3521,0,1,8,391
53,0.053,0,0,76,3524,0,1,8,391
54,0.054,0,0,76,3524,0,0,8,392
55,0.055,0,0,76,3524,0,0,8,392
56,0.056,0,0,76,3524,0,0,8,392
57,0.057,0,0,76,3524,0,0,8,392
58,0.058,0,0,76,3524,0,0,8,392
59,0.059,0,0,76,3524,0,0,8,392
60,0.06,0,0,76,3524,0,0,8,392
61,0.061,0,0,76,3524,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
