,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,19,881,0,0,2,98,0,0
26,0.026,19,853,0,28,2,96,0,2
27,0.027,19,757,0,124,2,85,0,13
28,0.028,17,690,2,191,2,77,0,21
29,0.029,17,602,2,279,2,69,0,29
30,0.03,15,492,4,389,2,59,0,39
31,0.031,14,399,5,482,2,46,0,52
32,0.032,11,303,8,578,2,33,0,65
33,0.033,7,236,12,645,2,27,0,71
34,0.034,6,186,13,695,2,21,0,77
35,0.035,6,148,13,733,2,17,0,81
36,0.036,5,127,14,754,2,16,0,82
37,0.037,5,105,14,776,2,12,0,86
38,0.038,5,91,14,790,2,9,0,89
39,0.039,4,87,15,794,2,7,0,91
40,0.04,3,81,16,800,2,7,0,91
41,0.041,2,75,17,806,2,7,0,91
42,0.042,2,71,17,810,2,7,0,91
43,0.043,2,61,17,820,2,6,0,92
44,0.044,1,51,18,830,2,6,0,92
45,0.045,1,45,18,836,2,4,0,94
46,0.046,1,40,18,841,2,4,0,94
47,0.047,1,31,18,850,2,1,0,97
48,0.048,1,28,18,853,2,1,0,97
49,0.049,0,26,19,855,2,1,0,97
50,0.05,0,25,19,856,2,1,0,97
51,0.051,0,22,19,859,2,1,0,97
52,0.052,0,21,19,860,1,1,1,97
53,0.053,0,20,19,861,0,1,2,97
54,0.054,0,20,19,861,0,1,2,97
55,0.055,0,17,19,864,0,1,2,97
56,0.056,0,13,19,868,0,1,2,97
57,0.057,0,12,19,869,0,0,2,98
58,0.058,0,11,19,870,0,0,2,98
59,0.059,0,11,19,870,0,0,2,98
60,0.06,0,11,19,870,0,0,2,98
61,0.061,0,10,19,871,0,0,2,98
62,0.062,0,7,19,874,0,0,2,98
63,0.063,0,6,19,875,0,0,2,98
64,0.064,0,5,19,876,0,0,2,98
65,0.065,0,5,19,876,0,0,2,98
66,0.066,0,4,19,877,0,0,2,98
67,0.067,0,3,19,878,0,0,2,98
68,0.068,0,0,19,881,0,0,2,98
69,0.069,0,0,19,881,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
