,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,188,8812,0,0,21,979,0,0
9,0.009,188,8812,0,0,21,979,0,0
10,0.01,188,8812,0,0,21,979,0,0
11,0.011,188,8812,0,0,21,979,0,0
12,0.012,188,8812,0,0,21,979,0,0
13,0.013,188,8812,0,0,21,979,0,0
14,0.014,188,8812,0,0,21,979,0,0
15,0.015,188,8812,0,0,21,979,0,0
16,0.016,188,8812,0,0,21,979,0,0
17,0.017,188,8799,0,13,21,979,0,0
18,0.018,187,8709,1,103,21,969,0,10
19,0.019,178,8206,10,606,21,911,0,68
20,0.02,152,6842,36,1970,21,786,0,193
21,0.021,130,5790,58,3022,21,663,0,316
22,0.022,109,4842,79,3970,21,553,0,426
23,0.023,90,3737,98,5075,20,419,1,560
24,0.024,68,2846,120,5966,20,326,1,653
25,0.025,44,1874,144,6938,18,208,3,771
26,0.026,36,1408,152,7404,18,162,3,817
27,0.027,27,1027,161,7785,16,117,5,862
28,0.028,18,541,170,8271,13,59,8,920
29,0.029,16,451,172,8361,10,53,11,926
30,0.03,12,348,176,8464,10,40,11,939
31,0.031,12,305,176,8507,7,36,14,943
32,0.032,10,232,178,8580,6,26,15,953
33,0.033,9,203,179,8609,6,23,15,956
34,0.034,8,164,180,8648,6,19,15,960
35,0.035,8,144,180,8668,6,16,15,963
36,0.036,5,106,183,8706,6,12,15,967
37,0.037,3,63,185,8749,4,11,17,968
38,0.038,3,48,185,8764,4,11,17,968
39,0.039,3,40,185,8772,4,9,17,970
40,0.04,1,38,187,8774,4,8,17,971
41,0.041,1,33,187,8779,3,8,18,971
42,0.042,1,29,187,8783,3,7,18,972
43,0.043,1,29,187,8783,3,6,18,973
44,0.044,1,27,187,8785,3,5,18,974
45,0.045,1,26,187,8786,3,5,18,974
46,0.046,1,22,187,8790,3,5,18,974
47,0.047,1,19,187,8793,3,4,18,975
48,0.048,1,15,187,8797,2,3,19,976
49,0.049,1,12,187,8800,2,2,19,977
50,0.05,1,11,187,8801,1,2,20,977
51,0.051,1,9,187,8803,1,1,20,978
52,0.052,1,7,187,8805,0,0,21,979
53,0.053,1,5,187,8807,0,0,21,979
54,0.054,1,5,187,8807,0,0,21,979
55,0.055,1,4,187,8808,0,0,21,979
56,0.056,0,2,188,8810,0,0,21,979
57,0.057,0,2,188,8810,0,0,21,979
58,0.058,0,2,188,8810,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
