,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,38,1762,0,0,4,196,0,0
12,0.012,38,1762,0,0,4,196,0,0
13,0.013,38,1762,0,0,4,196,0,0
14,0.014,38,1762,0,0,4,196,0,0
15,0.015,38,1762,0,0,4,196,0,0
16,0.016,38,1762,0,0,4,196,0,0
17,0.017,38,1762,0,0,4,196,0,0
18,0.018,38,1762,0,0,4,196,0,0
19,0.019,38,1758,0,4,4,196,0,0
20,0.02,38,1713,0,49,4,189,0,7
21,0.021,36,1632,2,130,4,176,0,20
22,0.022,29,1458,9,304,4,156,0,40
23,0.023,24,1387,14,375,4,156,0,40
24,0.024,23,1257,15,505,4,139,0,57
25,0.025,18,997,20,765,4,122,0,74
26,0.026,17,814,21,948,4,105,0,91
27,0.027,13,684,25,1078,4,92,0,104
28,0.028,11,566,27,1196,4,79,0,117
29,0.029,10,485,28,1277,4,66,0,130
30,0.03,9,420,29,1342,4,60,0,136
31,0.031,7,343,31,1419,4,45,0,151
32,0.032,5,280,33,1482,4,39,0,157
33,0.033,5,256,33,1506,4,37,0,159
34,0.034,4,219,34,1543,4,31,0,165
35,0.035,3,168,35,1594,4,23,0,173
36,0.036,2,134,36,1628,4,13,0,183
37,0.037,1,121,37,1641,4,13,0,183
38,0.038,1,110,37,1652,4,12,0,184
39,0.039,1,104,37,1658,4,11,0,185
40,0.04,1,94,37,1668,4,10,0,186
41,0.041,1,92,37,1670,4,8,0,188
42,0.042,1,85,37,1677,4,6,0,190
43,0.043,1,78,37,1684,2,6,2,190
44,0.044,1,75,37,1687,2,4,2,192
45,0.045,0,67,38,1695,2,4,2,192
46,0.046,0,60,38,1702,2,4,2,192
47,0.047,0,54,38,1708,2,2,2,194
48,0.048,0,54,38,1708,2,2,2,194
49,0.049,0,52,38,1710,2,2,2,194
50,0.05,0,47,38,1715,2,2,2,194
51,0.051,0,41,38,1721,2,1,2,195
52,0.052,0,31,38,1731,2,1,2,195
53,0.053,0,28,38,1734,2,1,2,195
54,0.054,0,25,38,1737,2,0,2,196
55,0.055,0,23,38,1739,2,0,2,196
56,0.056,0,21,38,1741,2,0,2,196
57,0.057,0,19,38,1743,2,0,2,196
58,0.058,0,17,38,1745,2,0,2,196
59,0.059,0,14,38,1748,2,0,2,196
60,0.06,0,12,38,1750,2,0,2,196
61,0.061,0,9,38,1753,2,0,2,196
62,0.062,0,7,38,1755,2,0,2,196
63,0.063,0,6,38,1756,2,0,2,196
64,0.064,0,6,38,1756,2,0,2,196
65,0.065,0,4,38,1758,2,0,2,196
66,0.066,0,3,38,1759,2,0,2,196
67,0.067,0,3,38,1759,2,0,2,196
68,0.068,0,2,38,1760,2,0,2,196
69,0.069,0,2,38,1760,1,0,3,196
70,0.07,0,1,38,1761,1,0,3,196
71,0.071,0,1,38,1761,1,0,3,196
72,0.072,0,0,38,1762,1,0,3,196
73,0.073,0,0,38,1762,1,0,3,196
74,0.074,0,0,38,1762,1,0,3,196
75,0.075,0,0,38,1762,0,0,4,196
76,0.076,0,0,38,1762,0,0,4,196
77,0.077,0,0,38,1762,0,0,4,196
78,0.078,0,0,38,1762,0,0,4,196
79,0.079,0,0,38,1762,0,0,4,196
80,0.08,0,0,38,1762,0,0,4,196
81,0.081,0,0,38,1762,0,0,4,196
82,0.082,0,0,38,1762,0,0,4,196
83,0.083,0,0,38,1762,0,0,4,196
84,0.084,0,0,38,1762,0,0,4,196
85,0.085,0,0,38,1762,0,0,4,196
86,0.086,0,0,38,1762,0,0,4,196
87,0.087,0,0,38,1762,0,0,4,196
88,0.088,0,0,38,1762,0,0,4,196
89,0.089,0,0,38,1762,0,0,4,196
90,0.09,0,0,38,1762,0,0,4,196
91,0.091,0,0,38,1762,0,0,4,196
92,0.092,0,0,38,1762,0,0,4,196
93,0.093,0,0,38,1762,0,0,4,196
94,0.094,0,0,38,1762,0,0,4,196
95,0.095,0,0,38,1762,0,0,4,196
96,0.096,0,0,38,1762,0,0,4,196
97,0.097,0,0,38,1762,0,0,4,196
98,0.098,0,0,38,1762,0,0,4,196
99,0.099,0,0,38,1762,0,0,4,196
100,0.1,0,0,38,1762,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
