,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,188,8812,0,0,21,979,0,0
1,0.001,188,8812,0,0,21,979,0,0
2,0.002,188,8812,0,0,21,979,0,0
3,0.003,188,8812,0,0,21,979,0,0
4,0.004,188,8812,0,0,21,979,0,0
5,0.005,188,8812,0,0,21,979,0,0
6,0.006,188,8812,0,0,21,979,0,0
7,0.007,188,8812,0,0,21,979,0,0
8,0.008,188,8812,0,0,21,979,0,0
9,0.009,185,8616,3,196,20,955,1,24
10,0.01,181,8227,7,585,20,911,1,68
11,0.011,171,7752,17,1060,18,860,3,119
12,0.012,163,7165,25,1647,17,787,4,192
13,0.013,147,6478,41,2334,15,709,6,270
14,0.014,119,5435,69,3377,12,589,9,390
15,0.015,66,3677,122,5135,7,400,14,579
16,0.016,56,2806,132,6006,7,308,14,671
17,0.017,51,2307,137,6505,6,241,15,738
18,0.018,44,1918,144,6894,6,212,15,767
19,0.019,38,1535,150,7277,5,153,16,826
20,0.02,33,1223,155,7589,5,116,16,863
21,0.021,31,1048,157,7764,1,95,20,884
22,0.022,27,855,161,7957,0,83,21,896
23,0.023,22,632,166,8180,0,58,21,921
24,0.024,20,510,168,8302,0,45,21,934
25,0.025,11,400,177,8412,0,36,21,943
26,0.026,9,329,179,8483,0,31,21,948
27,0.027,7,280,181,8532,0,27,21,952
28,0.028,5,231,183,8581,0,22,21,957
29,0.029,4,186,184,8626,0,18,21,961
30,0.03,1,128,187,8684,0,10,21,969
31,0.031,1,101,187,8711,0,7,21,972
32,0.032,1,85,187,8727,0,7,21,972
33,0.033,1,61,187,8751,0,3,21,976
34,0.034,1,48,187,8764,0,3,21,976
35,0.035,0,36,188,8776,0,3,21,976
36,0.036,0,31,188,8781,0,2,21,977
37,0.037,0,8,188,8804,0,0,21,979
38,0.038,0,5,188,8807,0,0,21,979
39,0.039,0,4,188,8808,0,0,21,979
40,0.04,0,4,188,8808,0,0,21,979
41,0.041,0,1,188,8811,0,0,21,979
42,0.042,0,1,188,8811,0,0,21,979
43,0.043,0,0,188,8812,0,0,21,979
44,0.044,0,0,188,8812,0,0,21,979
45,0.045,0,0,188,8812,0,0,21,979
46,0.046,0,0,188,8812,0,0,21,979
47,0.047,0,0,188,8812,0,0,21,979
48,0.048,0,0,188,8812,0,0,21,979
49,0.049,0,0,188,8812,0,0,21,979
50,0.05,0,0,188,8812,0,0,21,979
51,0.051,0,0,188,8812,0,0,21,979
52,0.052,0,0,188,8812,0,0,21,979
53,0.053,0,0,188,8812,0,0,21,979
54,0.054,0,0,188,8812,0,0,21,979
55,0.055,0,0,188,8812,0,0,21,979
56,0.056,0,0,188,8812,0,0,21,979
57,0.057,0,0,188,8812,0,0,21,979
58,0.058,0,0,188,8812,0,0,21,979
59,0.059,0,0,188,8812,0,0,21,979
60,0.06,0,0,188,8812,0,0,21,979
61,0.061,0,0,188,8812,0,0,21,979
62,0.062,0,0,188,8812,0,0,21,979
63,0.063,0,0,188,8812,0,0,21,979
64,0.064,0,0,188,8812,0,0,21,979
65,0.065,0,0,188,8812,0,0,21,979
66,0.066,0,0,188,8812,0,0,21,979
67,0.067,0,0,188,8812,0,0,21,979
68,0.068,0,0,188,8812,0,0,21,979
69,0.069,0,0,188,8812,0,0,21,979
70,0.07,0,0,188,8812,0,0,21,979
71,0.071,0,0,188,8812,0,0,21,979
72,0.072,0,0,188,8812,0,0,21,979
73,0.073,0,0,188,8812,0,0,21,979
74,0.074,0,0,188,8812,0,0,21,979
75,0.075,0,0,188,8812,0,0,21,979
76,0.076,0,0,188,8812,0,0,21,979
77,0.077,0,0,188,8812,0,0,21,979
78,0.078,0,0,188,8812,0,0,21,979
79,0.079,0,0,188,8812,0,0,21,979
80,0.08,0,0,188,8812,0,0,21,979
81,0.081,0,0,188,8812,0,0,21,979
82,0.082,0,0,188,8812,0,0,21,979
83,0.083,0,0,188,8812,0,0,21,979
84,0.084,0,0,188,8812,0,0,21,979
85,0.085,0,0,188,8812,0,0,21,979
86,0.086,0,0,188,8812,0,0,21,979
87,0.087,0,0,188,8812,0,0,21,979
88,0.088,0,0,188,8812,0,0,21,979
89,0.089,0,0,188,8812,0,0,21,979
90,0.09,0,0,188,8812,0,0,21,979
91,0.091,0,0,188,8812,0,0,21,979
92,0.092,0,0,188,8812,0,0,21,979
93,0.093,0,0,188,8812,0,0,21,979
94,0.094,0,0,188,8812,0,0,21,979
95,0.095,0,0,188,8812,0,0,21,979
96,0.096,0,0,188,8812,0,0,21,979
97,0.097,0,0,188,8812,0,0,21,979
98,0.098,0,0,188,8812,0,0,21,979
99,0.099,0,0,188,8812,0,0,21,979
100,0.1,0,0,188,8812,0,0,21,979
101,0.2,0,0,188,8812,0,0,21,979
102,0.3,0,0,188,8812,0,0,21,979
103,0.4,0,0,188,8812,0,0,21,979
104,0.5,0,0,188,8812,0,0,21,979
