,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,38,1762,0,0,4,196,0,0
12,0.012,38,1762,0,0,4,196,0,0
13,0.013,38,1762,0,0,4,196,0,0
14,0.014,38,1762,0,0,4,196,0,0
15,0.015,38,1762,0,0,4,196,0,0
16,0.016,38,1726,0,36,4,194,0,2
17,0.017,34,1550,4,212,4,178,0,18
18,0.018,32,1351,6,411,3,161,1,35
19,0.019,29,1191,9,571,2,138,2,58
20,0.02,26,1018,12,744,1,122,3,74
21,0.021,23,883,15,879,1,107,3,89
22,0.022,19,790,19,972,1,95,3,101
23,0.023,16,723,22,1039,1,90,3,106
24,0.024,13,630,25,1132,1,81,3,115
25,0.025,12,583,26,1179,1,76,3,120
26,0.026,11,540,27,1222,1,73,3,123
27,0.027,11,484,27,1278,1,65,3,131
28,0.028,10,425,28,1337,1,48,3,148
29,0.029,9,374,29,1388,0,39,4,157
30,0.03,7,319,31,1443,0,36,4,160
31,0.031,6,306,32,1456,0,32,4,164
32,0.032,6,294,32,1468,0,28,4,168
33,0.033,6,272,32,1490,0,25,4,171
34,0.034,5,230,33,1532,0,24,4,172
35,0.035,4,209,34,1553,0,21,4,175
36,0.036,3,174,35,1588,0,20,4,176
37,0.037,3,162,35,1600,0,18,4,178
38,0.038,3,137,35,1625,0,15,4,181
39,0.039,3,118,35,1644,0,15,4,181
40,0.04,3,111,35,1651,0,15,4,181
41,0.041,3,106,35,1656,0,15,4,181
42,0.042,2,87,36,1675,0,11,4,185
43,0.043,2,80,36,1682,0,11,4,185
44,0.044,2,71,36,1691,0,11,4,185
45,0.045,2,60,36,1702,0,9,4,187
46,0.046,2,57,36,1705,0,8,4,188
47,0.047,2,54,36,1708,0,7,4,189
48,0.048,2,49,36,1713,0,6,4,190
49,0.049,1,46,37,1716,0,6,4,190
50,0.05,1,37,37,1725,0,4,4,192
51,0.051,1,34,37,1728,0,4,4,192
52,0.052,1,29,37,1733,0,4,4,192
53,0.053,1,20,37,1742,0,3,4,193
54,0.054,1,16,37,1746,0,2,4,194
55,0.055,1,7,37,1755,0,1,4,195
56,0.056,0,1,38,1761,0,0,4,196
57,0.057,0,1,38,1761,0,0,4,196
58,0.058,0,0,38,1762,0,0,4,196
59,0.059,0,0,38,1762,0,0,4,196
60,0.06,0,0,38,1762,0,0,4,196
61,0.061,0,0,38,1762,0,0,4,196
62,0.062,0,0,38,1762,0,0,4,196
63,0.063,0,0,38,1762,0,0,4,196
64,0.064,0,0,38,1762,0,0,4,196
65,0.065,0,0,38,1762,0,0,4,196
66,0.066,0,0,38,1762,0,0,4,196
67,0.067,0,0,38,1762,0,0,4,196
68,0.068,0,0,38,1762,0,0,4,196
69,0.069,0,0,38,1762,0,0,4,196
70,0.07,0,0,38,1762,0,0,4,196
71,0.071,0,0,38,1762,0,0,4,196
72,0.072,0,0,38,1762,0,0,4,196
73,0.073,0,0,38,1762,0,0,4,196
74,0.074,0,0,38,1762,0,0,4,196
75,0.075,0,0,38,1762,0,0,4,196
76,0.076,0,0,38,1762,0,0,4,196
77,0.077,0,0,38,1762,0,0,4,196
78,0.078,0,0,38,1762,0,0,4,196
79,0.079,0,0,38,1762,0,0,4,196
80,0.08,0,0,38,1762,0,0,4,196
81,0.081,0,0,38,1762,0,0,4,196
82,0.082,0,0,38,1762,0,0,4,196
83,0.083,0,0,38,1762,0,0,4,196
84,0.084,0,0,38,1762,0,0,4,196
85,0.085,0,0,38,1762,0,0,4,196
86,0.086,0,0,38,1762,0,0,4,196
87,0.087,0,0,38,1762,0,0,4,196
88,0.088,0,0,38,1762,0,0,4,196
89,0.089,0,0,38,1762,0,0,4,196
90,0.09,0,0,38,1762,0,0,4,196
91,0.091,0,0,38,1762,0,0,4,196
92,0.092,0,0,38,1762,0,0,4,196
93,0.093,0,0,38,1762,0,0,4,196
94,0.094,0,0,38,1762,0,0,4,196
95,0.095,0,0,38,1762,0,0,4,196
96,0.096,0,0,38,1762,0,0,4,196
97,0.097,0,0,38,1762,0,0,4,196
98,0.098,0,0,38,1762,0,0,4,196
99,0.099,0,0,38,1762,0,0,4,196
100,0.1,0,0,38,1762,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
