,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,3524,0,0,8,392,0,0
2,0.002,76,3524,0,0,8,392,0,0
3,0.003,76,3524,0,0,8,392,0,0
4,0.004,76,3524,0,0,8,392,0,0
5,0.005,76,3524,0,0,8,392,0,0
6,0.006,76,3524,0,0,8,392,0,0
7,0.007,76,3524,0,0,8,392,0,0
8,0.008,76,3524,0,0,8,392,0,0
9,0.009,76,3524,0,0,8,392,0,0
10,0.01,76,3524,0,0,8,392,0,0
11,0.011,75,3498,1,26,8,389,0,3
12,0.012,67,3249,9,275,8,372,0,20
13,0.013,56,2934,20,590,8,343,0,49
14,0.014,52,2623,24,901,8,307,0,85
15,0.015,47,2271,29,1253,8,260,0,132
16,0.016,40,1777,36,1747,8,197,0,195
17,0.017,34,1313,42,2211,8,140,0,252
18,0.018,27,981,49,2543,8,103,0,289
19,0.019,23,778,53,2746,8,79,0,313
20,0.02,16,633,60,2891,8,60,0,332
21,0.021,13,537,63,2987,8,50,0,342
22,0.022,10,455,66,3069,8,41,0,351
23,0.023,7,388,69,3136,8,36,0,356
24,0.024,5,325,71,3199,8,31,0,361
25,0.025,4,278,72,3246,8,23,0,369
26,0.026,3,241,73,3283,8,17,0,375
27,0.027,3,187,73,3337,8,16,0,376
28,0.028,3,164,73,3360,8,12,0,380
29,0.029,2,146,74,3378,8,10,0,382
30,0.03,2,132,74,3392,8,8,0,384
31,0.031,1,120,75,3404,8,7,0,385
32,0.032,1,104,75,3420,8,6,0,386
33,0.033,1,95,75,3429,8,5,0,387
34,0.034,1,80,75,3444,7,4,1,388
35,0.035,1,73,75,3451,7,4,1,388
36,0.036,1,69,75,3455,7,4,1,388
37,0.037,0,67,76,3457,7,3,1,389
38,0.038,0,61,76,3463,7,2,1,390
39,0.039,0,58,76,3466,7,2,1,390
40,0.04,0,57,76,3467,7,1,1,391
41,0.041,0,54,76,3470,6,1,2,391
42,0.042,0,51,76,3473,6,1,2,391
43,0.043,0,48,76,3476,6,1,2,391
44,0.044,0,46,76,3478,6,1,2,391
45,0.045,0,43,76,3481,6,1,2,391
46,0.046,0,40,76,3484,6,1,2,391
47,0.047,0,39,76,3485,6,1,2,391
48,0.048,0,33,76,3491,5,1,3,391
49,0.049,0,32,76,3492,5,1,3,391
50,0.05,0,28,76,3496,4,0,4,392
51,0.051,0,25,76,3499,4,0,4,392
52,0.052,0,21,76,3503,4,0,4,392
53,0.053,0,19,76,3505,4,0,4,392
54,0.054,0,17,76,3507,3,0,5,392
55,0.055,0,12,76,3512,3,0,5,392
56,0.056,0,10,76,3514,2,0,6,392
57,0.057,0,10,76,3514,1,0,7,392
58,0.058,0,7,76,3517,0,0,8,392
59,0.059,0,5,76,3519,0,0,8,392
60,0.06,0,2,76,3522,0,0,8,392
61,0.061,0,1,76,3523,0,0,8,392
62,0.062,0,0,76,3524,0,0,8,392
63,0.063,0,0,76,3524,0,0,8,392
64,0.064,0,0,76,3524,0,0,8,392
65,0.065,0,0,76,3524,0,0,8,392
66,0.066,0,0,76,3524,0,0,8,392
67,0.067,0,0,76,3524,0,0,8,392
68,0.068,0,0,76,3524,0,0,8,392
69,0.069,0,0,76,3524,0,0,8,392
70,0.07,0,0,76,3524,0,0,8,392
71,0.071,0,0,76,3524,0,0,8,392
72,0.072,0,0,76,3524,0,0,8,392
73,0.073,0,0,76,3524,0,0,8,392
74,0.074,0,0,76,3524,0,0,8,392
75,0.075,0,0,76,3524,0,0,8,392
76,0.076,0,0,76,3524,0,0,8,392
77,0.077,0,0,76,3524,0,0,8,392
78,0.078,0,0,76,3524,0,0,8,392
79,0.079,0,0,76,3524,0,0,8,392
80,0.08,0,0,76,3524,0,0,8,392
81,0.081,0,0,76,3524,0,0,8,392
82,0.082,0,0,76,3524,0,0,8,392
83,0.083,0,0,76,3524,0,0,8,392
84,0.084,0,0,76,3524,0,0,8,392
85,0.085,0,0,76,3524,0,0,8,392
86,0.086,0,0,76,3524,0,0,8,392
87,0.087,0,0,76,3524,0,0,8,392
88,0.088,0,0,76,3524,0,0,8,392
89,0.089,0,0,76,3524,0,0,8,392
90,0.09,0,0,76,3524,0,0,8,392
91,0.091,0,0,76,3524,0,0,8,392
92,0.092,0,0,76,3524,0,0,8,392
93,0.093,0,0,76,3524,0,0,8,392
94,0.094,0,0,76,3524,0,0,8,392
95,0.095,0,0,76,3524,0,0,8,392
96,0.096,0,0,76,3524,0,0,8,392
97,0.097,0,0,76,3524,0,0,8,392
98,0.098,0,0,76,3524,0,0,8,392
99,0.099,0,0,76,3524,0,0,8,392
100,0.1,0,0,76,3524,0,0,8,392
101,0.2,0,0,76,3524,0,0,8,392
102,0.3,0,0,76,3524,0,0,8,392
103,0.4,0,0,76,3524,0,0,8,392
104,0.5,0,0,76,3524,0,0,8,392
