,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,150,7050,0,0,17,783,0,0
1,0.001,150,7050,0,0,17,783,0,0
2,0.002,150,7050,0,0,17,783,0,0
3,0.003,150,7050,0,0,17,783,0,0
4,0.004,150,7050,0,0,17,783,0,0
5,0.005,150,7050,0,0,17,783,0,0
6,0.006,150,7050,0,0,17,783,0,0
7,0.007,150,7050,0,0,17,783,0,0
8,0.008,150,7050,0,0,17,783,0,0
9,0.009,150,7050,0,0,17,783,0,0
10,0.01,150,7050,0,0,17,783,0,0
11,0.011,150,7050,0,0,17,783,0,0
12,0.012,150,7050,0,0,17,783,0,0
13,0.013,150,7050,0,0,17,783,0,0
14,0.014,150,7050,0,0,17,783,0,0
15,0.015,149,7023,1,27,17,782,0,1
16,0.016,113,5380,37,1670,17,602,0,181
17,0.017,65,3223,85,3827,17,355,0,428
18,0.018,46,2130,104,4920,17,242,0,541
19,0.019,25,1288,125,5762,17,132,0,651
20,0.02,21,847,129,6203,17,77,0,706
21,0.021,14,653,136,6397,17,52,0,731
22,0.022,12,598,138,6452,16,48,1,735
23,0.023,11,584,139,6466,12,47,5,736
24,0.024,11,570,139,6480,12,46,5,737
25,0.025,11,547,139,6503,11,45,6,738
26,0.026,8,429,142,6621,11,34,6,749
27,0.027,3,259,147,6791,11,16,6,767
28,0.028,3,189,147,6861,11,11,6,772
29,0.029,1,121,149,6929,9,3,8,780
30,0.03,1,83,149,6967,7,2,10,781
31,0.031,0,66,150,6984,6,2,11,781
32,0.032,0,58,150,6992,6,2,11,781
33,0.033,0,50,150,7000,6,1,11,782
34,0.034,0,41,150,7009,6,1,11,782
35,0.035,0,32,150,7018,5,0,12,783
36,0.036,0,24,150,7026,3,0,14,783
37,0.037,0,23,150,7027,3,0,14,783
38,0.038,0,22,150,7028,3,0,14,783
39,0.039,0,21,150,7029,1,0,16,783
40,0.04,0,17,150,7033,1,0,16,783
41,0.041,0,17,150,7033,0,0,17,783
42,0.042,0,15,150,7035,0,0,17,783
43,0.043,0,14,150,7036,0,0,17,783
44,0.044,0,13,150,7037,0,0,17,783
45,0.045,0,12,150,7038,0,0,17,783
46,0.046,0,9,150,7041,0,0,17,783
47,0.047,0,4,150,7046,0,0,17,783
48,0.048,0,1,150,7049,0,0,17,783
49,0.049,0,0,150,7050,0,0,17,783
50,0.05,0,0,150,7050,0,0,17,783
51,0.051,0,0,150,7050,0,0,17,783
52,0.052,0,0,150,7050,0,0,17,783
53,0.053,0,0,150,7050,0,0,17,783
54,0.054,0,0,150,7050,0,0,17,783
55,0.055,0,0,150,7050,0,0,17,783
56,0.056,0,0,150,7050,0,0,17,783
57,0.057,0,0,150,7050,0,0,17,783
58,0.058,0,0,150,7050,0,0,17,783
59,0.059,0,0,150,7050,0,0,17,783
60,0.06,0,0,150,7050,0,0,17,783
61,0.061,0,0,150,7050,0,0,17,783
62,0.062,0,0,150,7050,0,0,17,783
63,0.063,0,0,150,7050,0,0,17,783
64,0.064,0,0,150,7050,0,0,17,783
65,0.065,0,0,150,7050,0,0,17,783
66,0.066,0,0,150,7050,0,0,17,783
67,0.067,0,0,150,7050,0,0,17,783
68,0.068,0,0,150,7050,0,0,17,783
69,0.069,0,0,150,7050,0,0,17,783
70,0.07,0,0,150,7050,0,0,17,783
71,0.071,0,0,150,7050,0,0,17,783
72,0.072,0,0,150,7050,0,0,17,783
73,0.073,0,0,150,7050,0,0,17,783
74,0.074,0,0,150,7050,0,0,17,783
75,0.075,0,0,150,7050,0,0,17,783
76,0.076,0,0,150,7050,0,0,17,783
77,0.077,0,0,150,7050,0,0,17,783
78,0.078,0,0,150,7050,0,0,17,783
79,0.079,0,0,150,7050,0,0,17,783
80,0.08,0,0,150,7050,0,0,17,783
81,0.081,0,0,150,7050,0,0,17,783
82,0.082,0,0,150,7050,0,0,17,783
83,0.083,0,0,150,7050,0,0,17,783
84,0.084,0,0,150,7050,0,0,17,783
85,0.085,0,0,150,7050,0,0,17,783
86,0.086,0,0,150,7050,0,0,17,783
87,0.087,0,0,150,7050,0,0,17,783
88,0.088,0,0,150,7050,0,0,17,783
89,0.089,0,0,150,7050,0,0,17,783
90,0.09,0,0,150,7050,0,0,17,783
91,0.091,0,0,150,7050,0,0,17,783
92,0.092,0,0,150,7050,0,0,17,783
93,0.093,0,0,150,7050,0,0,17,783
94,0.094,0,0,150,7050,0,0,17,783
95,0.095,0,0,150,7050,0,0,17,783
96,0.096,0,0,150,7050,0,0,17,783
97,0.097,0,0,150,7050,0,0,17,783
98,0.098,0,0,150,7050,0,0,17,783
99,0.099,0,0,150,7050,0,0,17,783
100,0.1,0,0,150,7050,0,0,17,783
101,0.2,0,0,150,7050,0,0,17,783
102,0.3,0,0,150,7050,0,0,17,783
103,0.4,0,0,150,7050,0,0,17,783
104,0.5,0,0,150,7050,0,0,17,783
