,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5287,0,0,12,588,0,0
13,0.013,113,5287,0,0,12,588,0,0
14,0.014,113,5287,0,0,12,588,0,0
15,0.015,113,5281,0,6,12,587,0,1
16,0.016,102,4542,11,745,12,511,0,77
17,0.017,71,3165,42,2122,12,355,0,233
18,0.018,46,1907,67,3380,12,234,0,354
19,0.019,27,1199,86,4088,12,126,0,462
20,0.02,19,844,94,4443,12,88,0,500
21,0.021,17,693,96,4594,12,67,0,521
22,0.022,15,615,98,4672,12,57,0,531
23,0.023,13,559,100,4728,12,51,0,537
24,0.024,11,510,102,4777,12,46,0,542
25,0.025,11,465,102,4822,12,41,0,547
26,0.026,11,424,102,4863,12,34,0,554
27,0.027,8,392,105,4895,12,30,0,558
28,0.028,7,343,106,4944,12,27,0,561
29,0.029,6,292,107,4995,12,22,0,566
30,0.03,6,264,107,5023,12,20,0,568
31,0.031,6,231,107,5056,11,16,1,572
32,0.032,6,216,107,5071,10,9,2,579
33,0.033,4,185,109,5102,9,6,3,582
34,0.034,2,154,111,5133,9,5,3,583
35,0.035,2,128,111,5159,9,5,3,583
36,0.036,2,102,111,5185,9,4,3,584
37,0.037,2,86,111,5201,9,4,3,584
38,0.038,1,78,112,5209,7,3,5,585
39,0.039,1,64,112,5223,7,2,5,586
40,0.04,1,52,112,5235,7,1,5,587
41,0.041,1,46,112,5241,7,0,5,588
42,0.042,1,45,112,5242,7,0,5,588
43,0.043,1,44,112,5243,7,0,5,588
44,0.044,1,41,112,5246,6,0,6,588
45,0.045,1,35,112,5252,6,0,6,588
46,0.046,0,30,113,5257,6,0,6,588
47,0.047,0,27,113,5260,6,0,6,588
48,0.048,0,26,113,5261,6,0,6,588
49,0.049,0,21,113,5266,4,0,8,588
50,0.05,0,20,113,5267,3,0,9,588
51,0.051,0,17,113,5270,3,0,9,588
52,0.052,0,13,113,5274,3,0,9,588
53,0.053,0,12,113,5275,2,0,10,588
54,0.054,0,9,113,5278,2,0,10,588
55,0.055,0,8,113,5279,2,0,10,588
56,0.056,0,5,113,5282,2,0,10,588
57,0.057,0,4,113,5283,2,0,10,588
58,0.058,0,3,113,5284,2,0,10,588
59,0.059,0,3,113,5284,2,0,10,588
60,0.06,0,3,113,5284,2,0,10,588
61,0.061,0,3,113,5284,2,0,10,588
62,0.062,0,3,113,5284,0,0,12,588
63,0.063,0,3,113,5284,0,0,12,588
64,0.064,0,2,113,5285,0,0,12,588
65,0.065,0,2,113,5285,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
