,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5236,0,51,12,581,0,7
12,0.012,108,5123,5,164,12,566,0,22
13,0.013,103,4949,10,338,12,544,0,44
14,0.014,95,4741,18,546,12,527,0,61
15,0.015,91,4499,22,788,11,503,1,85
16,0.016,83,4221,30,1066,11,472,1,116
17,0.017,76,3970,37,1317,10,443,2,145
18,0.018,69,3759,44,1528,10,420,2,168
19,0.019,63,3552,50,1735,9,393,3,195
20,0.02,58,3332,55,1955,9,370,3,218
21,0.021,53,3169,60,2118,9,348,3,240
22,0.022,51,3028,62,2259,9,334,3,254
23,0.023,47,2855,66,2432,8,314,4,274
24,0.024,44,2707,69,2580,8,302,4,286
25,0.025,44,2616,69,2671,8,296,4,292
26,0.026,39,2389,74,2898,7,272,5,316
27,0.027,36,2192,77,3095,6,252,6,336
28,0.028,35,2082,78,3205,5,240,7,348
29,0.029,33,1974,80,3313,5,234,7,354
30,0.03,32,1912,81,3375,5,224,7,364
31,0.031,30,1711,83,3576,5,203,7,385
32,0.032,25,1552,88,3735,5,177,7,411
33,0.033,23,1433,90,3854,4,159,8,429
34,0.034,21,1283,92,4004,4,136,8,452
35,0.035,20,1225,93,4062,4,134,8,454
36,0.036,17,1112,96,4175,4,122,8,466
37,0.037,14,956,99,4331,4,111,8,477
38,0.038,12,838,101,4449,4,95,8,493
39,0.039,11,765,102,4522,4,80,8,508
40,0.04,5,681,108,4606,4,71,8,517
41,0.041,4,603,109,4684,4,60,8,528
42,0.042,4,532,109,4755,4,55,8,533
43,0.043,3,458,110,4829,4,49,8,539
44,0.044,2,408,111,4879,4,38,8,550
45,0.045,1,320,112,4967,4,31,8,557
46,0.046,1,226,112,5061,3,20,9,568
47,0.047,1,182,112,5105,3,19,9,569
48,0.048,1,171,112,5116,3,18,9,570
49,0.049,1,137,112,5150,2,11,10,577
50,0.05,1,121,112,5166,1,10,11,578
51,0.051,1,120,112,5167,1,10,11,578
52,0.052,1,118,112,5169,1,10,11,578
53,0.053,0,88,113,5199,1,9,11,579
54,0.054,0,84,113,5203,1,9,11,579
55,0.055,0,60,113,5227,1,9,11,579
56,0.056,0,42,113,5245,1,6,11,582
57,0.057,0,19,113,5268,0,1,12,587
58,0.058,0,11,113,5276,0,1,12,587
59,0.059,0,0,113,5287,0,0,12,588
60,0.06,0,0,113,5287,0,0,12,588
61,0.061,0,0,113,5287,0,0,12,588
62,0.062,0,0,113,5287,0,0,12,588
63,0.063,0,0,113,5287,0,0,12,588
64,0.064,0,0,113,5287,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
