,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,113,5287,0,0,12,588,0,0
1,0.001,113,5287,0,0,12,588,0,0
2,0.002,113,5287,0,0,12,588,0,0
3,0.003,113,5287,0,0,12,588,0,0
4,0.004,113,5287,0,0,12,588,0,0
5,0.005,113,5287,0,0,12,588,0,0
6,0.006,113,5287,0,0,12,588,0,0
7,0.007,113,5287,0,0,12,588,0,0
8,0.008,113,5287,0,0,12,588,0,0
9,0.009,113,5287,0,0,12,588,0,0
10,0.01,113,5287,0,0,12,588,0,0
11,0.011,113,5287,0,0,12,588,0,0
12,0.012,113,5287,0,0,12,588,0,0
13,0.013,113,5287,0,0,12,588,0,0
14,0.014,113,5282,0,5,12,587,0,1
15,0.015,113,5279,0,8,12,587,0,1
16,0.016,110,5089,3,198,12,560,0,28
17,0.017,108,4971,5,316,12,537,0,51
18,0.018,104,4821,9,466,12,525,0,63
19,0.019,88,4178,25,1109,12,452,0,136
20,0.02,78,3905,35,1382,12,416,0,172
21,0.021,75,3535,38,1752,12,383,0,205
22,0.022,64,3026,49,2261,12,339,0,249
23,0.023,54,2673,59,2614,11,306,1,282
24,0.024,51,2433,62,2854,10,282,2,306
25,0.025,42,1926,71,3361,8,214,4,374
26,0.026,36,1563,77,3724,8,182,4,406
27,0.027,28,1190,85,4097,7,132,5,456
28,0.028,18,752,95,4535,7,82,5,506
29,0.029,11,492,102,4795,6,52,6,536
30,0.03,4,124,109,5163,5,6,7,582
31,0.031,2,97,111,5190,4,3,8,585
32,0.032,2,78,111,5209,4,2,8,586
33,0.033,2,66,111,5221,3,2,9,586
34,0.034,2,54,111,5233,2,2,10,586
35,0.035,1,46,112,5241,2,1,10,587
36,0.036,1,41,112,5246,2,1,10,587
37,0.037,1,30,112,5257,2,1,10,587
38,0.038,0,19,113,5268,2,1,10,587
39,0.039,0,14,113,5273,2,0,10,588
40,0.04,0,7,113,5280,1,0,11,588
41,0.041,0,7,113,5280,1,0,11,588
42,0.042,0,6,113,5281,1,0,11,588
43,0.043,0,4,113,5283,1,0,11,588
44,0.044,0,4,113,5283,1,0,11,588
45,0.045,0,4,113,5283,1,0,11,588
46,0.046,0,4,113,5283,1,0,11,588
47,0.047,0,3,113,5284,1,0,11,588
48,0.048,0,3,113,5284,1,0,11,588
49,0.049,0,3,113,5284,1,0,11,588
50,0.05,0,3,113,5284,1,0,11,588
51,0.051,0,3,113,5284,1,0,11,588
52,0.052,0,3,113,5284,1,0,11,588
53,0.053,0,3,113,5284,1,0,11,588
54,0.054,0,2,113,5285,1,0,11,588
55,0.055,0,2,113,5285,1,0,11,588
56,0.056,0,2,113,5285,1,0,11,588
57,0.057,0,2,113,5285,1,0,11,588
58,0.058,0,2,113,5285,1,0,11,588
59,0.059,0,2,113,5285,1,0,11,588
60,0.06,0,1,113,5286,0,0,12,588
61,0.061,0,1,113,5286,0,0,12,588
62,0.062,0,0,113,5287,0,0,12,588
63,0.063,0,0,113,5287,0,0,12,588
64,0.064,0,0,113,5287,0,0,12,588
65,0.065,0,0,113,5287,0,0,12,588
66,0.066,0,0,113,5287,0,0,12,588
67,0.067,0,0,113,5287,0,0,12,588
68,0.068,0,0,113,5287,0,0,12,588
69,0.069,0,0,113,5287,0,0,12,588
70,0.07,0,0,113,5287,0,0,12,588
71,0.071,0,0,113,5287,0,0,12,588
72,0.072,0,0,113,5287,0,0,12,588
73,0.073,0,0,113,5287,0,0,12,588
74,0.074,0,0,113,5287,0,0,12,588
75,0.075,0,0,113,5287,0,0,12,588
76,0.076,0,0,113,5287,0,0,12,588
77,0.077,0,0,113,5287,0,0,12,588
78,0.078,0,0,113,5287,0,0,12,588
79,0.079,0,0,113,5287,0,0,12,588
80,0.08,0,0,113,5287,0,0,12,588
81,0.081,0,0,113,5287,0,0,12,588
82,0.082,0,0,113,5287,0,0,12,588
83,0.083,0,0,113,5287,0,0,12,588
84,0.084,0,0,113,5287,0,0,12,588
85,0.085,0,0,113,5287,0,0,12,588
86,0.086,0,0,113,5287,0,0,12,588
87,0.087,0,0,113,5287,0,0,12,588
88,0.088,0,0,113,5287,0,0,12,588
89,0.089,0,0,113,5287,0,0,12,588
90,0.09,0,0,113,5287,0,0,12,588
91,0.091,0,0,113,5287,0,0,12,588
92,0.092,0,0,113,5287,0,0,12,588
93,0.093,0,0,113,5287,0,0,12,588
94,0.094,0,0,113,5287,0,0,12,588
95,0.095,0,0,113,5287,0,0,12,588
96,0.096,0,0,113,5287,0,0,12,588
97,0.097,0,0,113,5287,0,0,12,588
98,0.098,0,0,113,5287,0,0,12,588
99,0.099,0,0,113,5287,0,0,12,588
100,0.1,0,0,113,5287,0,0,12,588
101,0.2,0,0,113,5287,0,0,12,588
102,0.3,0,0,113,5287,0,0,12,588
103,0.4,0,0,113,5287,0,0,12,588
104,0.5,0,0,113,5287,0,0,12,588
