,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,18,867,1,14,2,97,0,1
21,0.021,15,825,4,56,2,93,0,5
22,0.022,14,803,5,78,2,90,0,8
23,0.023,14,762,5,119,2,83,0,15
24,0.024,13,694,6,187,2,80,0,18
25,0.025,8,633,11,248,2,75,0,23
26,0.026,8,590,11,291,2,73,0,25
27,0.027,8,548,11,333,2,69,0,29
28,0.028,8,495,11,386,2,61,0,37
29,0.029,6,447,13,434,2,56,0,42
30,0.03,6,415,13,466,1,49,1,49
31,0.031,5,359,14,522,1,44,1,54
32,0.032,3,316,16,565,1,39,1,59
33,0.033,3,275,16,606,1,35,1,63
34,0.034,3,240,16,641,1,31,1,67
35,0.035,3,193,16,688,1,25,1,73
36,0.036,2,177,17,704,1,24,1,74
37,0.037,1,161,18,720,1,21,1,77
38,0.038,0,142,19,739,1,17,1,81
39,0.039,0,123,19,758,1,13,1,85
40,0.04,0,104,19,777,1,12,1,86
41,0.041,0,93,19,788,1,10,1,88
42,0.042,0,84,19,797,1,10,1,88
43,0.043,0,72,19,809,0,8,2,90
44,0.044,0,59,19,822,0,8,2,90
45,0.045,0,49,19,832,0,5,2,93
46,0.046,0,34,19,847,0,4,2,94
47,0.047,0,31,19,850,0,4,2,94
48,0.048,0,31,19,850,0,4,2,94
49,0.049,0,27,19,854,0,2,2,96
50,0.05,0,26,19,855,0,1,2,97
51,0.051,0,25,19,856,0,1,2,97
52,0.052,0,20,19,861,0,0,2,98
53,0.053,0,18,19,863,0,0,2,98
54,0.054,0,15,19,866,0,0,2,98
55,0.055,0,12,19,869,0,0,2,98
56,0.056,0,10,19,871,0,0,2,98
57,0.057,0,9,19,872,0,0,2,98
58,0.058,0,9,19,872,0,0,2,98
59,0.059,0,9,19,872,0,0,2,98
60,0.06,0,6,19,875,0,0,2,98
61,0.061,0,2,19,879,0,0,2,98
62,0.062,0,2,19,879,0,0,2,98
63,0.063,0,2,19,879,0,0,2,98
64,0.064,0,2,19,879,0,0,2,98
65,0.065,0,2,19,879,0,0,2,98
66,0.066,0,1,19,880,0,0,2,98
67,0.067,0,0,19,881,0,0,2,98
68,0.068,0,0,19,881,0,0,2,98
69,0.069,0,0,19,881,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
